AA,FF,100-120,bulk_100-120,hexagons,pentagons,tetragons,hexagons_norm,pentagons_norm,tetragons_norm,avg_Hbonds,prob_0Hbonds,prob_less2Hbonds,prob_less3Hbonds,40-50,50-60,60-70,70-80,80-90,90-100,100-110,110-120,120-130,130-140,140-150,150-160,160-170,170-180,45-55,55-65,65-75,75-85,85-95,95-105,105-115,115-125,125-135,135-145,145-155,155-165,165-175,PC1,PC2,PC3,bulk_40-50,bulk_45-55,bulk_50-60,bulk_55-65,bulk_60-70,bulk_65-75,bulk_70-80,bulk_75-85,bulk_80-90,bulk_85-95,bulk_90-100,bulk_95-105,bulk_100-110,bulk_105-115,bulk_110-120,bulk_115-125,bulk_120-130,bulk_125-135,bulk_130-140,bulk_135-145,bulk_140-150,bulk_145-155,bulk_150-160,bulk_155-165,bulk_160-170,bulk_165-175,bulk_170-180,coulomb_pot,lj_pot,total_pot,n_waters
TRP,C36m,0.1992145,0.200062,0.3621275744851029,0.4323135372925415,0.4541091781643671,0.0143957520210491,0.0171858729262883,0.01805232072877,3.594081183763248,0.0007998400319936,0.0197960407918416,0.1495700859828034,0.0029823,0.0194430999999999,0.018265,0.0200541,0.0213158,0.0218299,0.0209588,0.0188841,0.0166317,0.0141176,0.0111967,0.0079785,0.0047653,0.0015772,0.0126101,0.0187897,0.0190403,0.0207745,0.0217245,0.0216084,0.0199939999999999,0.0177815,0.0154419,0.0126447,0.0095877,0.0064099,0.0031619,13.904077709652777,-8.648025200183966,4.56274420480616,0.0029515,0.0123992,0.0190761,0.0185166,0.0181973,0.0191407,0.0200564999999999,0.0207933,0.0213812,0.0216317,0.0216903,0.0215216,0.0209759,0.0200738,0.0190364999999999,0.0179993,0.016765,0.0152982999999999,0.0139194,0.0125723,0.0110926,0.0096379,0.0082022,0.0066451,0.0050355,0.0033277,0.0016199,-98.06700835456957,-84.42592164349514,-182.4929299980647,33.8
TYR,a03ws,0.2423875,0.2367255,0.6411111111111111,0.6811111111111111,0.6422222222222222,0.0250271090869659,0.0265885924962047,0.0250704836261114,3.1077777777777778,0.0061111111111111,0.065,0.2844444444444444,0.0025182,0.0139794999999999,0.0123064,0.0179652,0.0235887,0.0267045,0.0259901999999999,0.0224873,0.0178288,0.0135941,0.0103799,0.0071766999999999,0.0041609,0.0013195,0.0102007,0.0119276,0.0148411,0.0210161,0.0255279,0.0268139,0.0244787,0.0201259,0.0157042999999999,0.0118786999999999,0.0087199999999999,0.0057752,0.0026407,-5.353726073737185,2.781026700919434,0.988489475061652,0.0027343,0.0105242,0.014485,0.0127886,0.0133904,0.0158395,0.0184177,0.0209559,0.0232853,0.0250806,0.0258812,0.0259577,0.0253747,0.0239203,0.0219704,0.0199247,0.0176405,0.0154183,0.0135657,0.0117954,0.0101948,0.008655,0.0071646999999999,0.0058008999999999,0.0043887,0.0029224,0.0015065,-82.0107834815653,-87.05924372674707,-169.07002720831238,32.54
TYR,a99SBdisp,0.2406299999999999,0.234416,0.5896724042198779,0.6662965019433648,0.6318711826762909,0.0230418745931872,0.0260360164894771,0.0246908223041874,3.938922820655192,0.0,0.008328706274292,0.0755136035535813,0.0017108,0.013801,0.0131734,0.0185889,0.0237407,0.0264825,0.0257626,0.0223634,0.0178211,0.0138059,0.0101656,0.0070918,0.0041471,0.0013454,0.0089873,0.0124886,0.0157514,0.0213198,0.0255455,0.0265808999999999,0.0243359,0.020087,0.0156904,0.0119467,0.0085861,0.0056244,0.0027045,-3.707300535076415,1.958324455652043,-0.5481125338102071,0.0018614999999999,0.0093677,0.014535,0.0137971,0.0144199999999999,0.016651,0.0190805,0.0213115,0.0233959,0.0245857,0.0252869,0.02558,0.0251108,0.0237865999999999,0.0217724,0.0197613,0.0175426,0.0152404,0.0133961,0.0118277,0.0103702999999999,0.0088792,0.0073871,0.0058798,0.0043775,0.0029373,0.0014636,-128.68227868167685,-81.58511935500388,-210.2673980366808,32.84
TYR,C36m,0.1989335,0.200062,0.3327334533093381,0.3719256148770246,0.412117576484703,0.0142540196506737,0.0159329786960655,0.01765476832935,4.446510697860428,0.0,0.0033993201359728,0.0405918816236752,0.0029774,0.0194459,0.018308,0.0199882,0.0215375,0.0219436,0.0209394,0.0188472999999999,0.0165167,0.0140669,0.0111092999999999,0.0079641,0.0047741,0.0015816,0.0126094,0.0187526,0.0191341,0.0207975,0.0219258999999999,0.02161,0.0199775999999999,0.0176529,0.015417,0.0125833,0.0095775999999999,0.0063671,0.0031592,14.058270934253894,-8.241607477207733,4.488687741418273,0.0029515,0.0123992,0.0190761,0.0185166,0.0181973,0.0191407,0.0200564999999999,0.0207933,0.0213812,0.0216317,0.0216903,0.0215216,0.0209759,0.0200738,0.0190364999999999,0.0179993,0.016765,0.0152982999999999,0.0139194,0.0125723,0.0110926,0.0096379,0.0082022,0.0066451,0.0050355,0.0033277,0.0016199,-111.98138457868248,-64.94499641478565,-176.92638099346811,31.35
MET,a03ws,0.239814,0.2367255,0.4733333333333333,0.5927777777777777,0.5766666666666667,0.0221005940183134,0.0276776218515732,0.0269253715856916,2.1266666666666665,0.0083333333333333,0.2172222222222222,0.6672222222222223,0.0024979,0.0142066,0.0124543,0.0181525999999999,0.0236842,0.0263279,0.0256313,0.0223314999999999,0.0179362,0.0138455,0.0102826999999999,0.0071347,0.0041481999999999,0.0013663999999999,0.0103397,0.0119958,0.0150562,0.0211241,0.0253292,0.0264299,0.0244689999999999,0.0199769,0.0159085,0.0119153,0.0087025,0.0056225,0.0027648,-4.636106770156755,2.2523108321228555,1.1846196143731589,0.0027343,0.0105242,0.014485,0.0127886,0.0133904,0.0158395,0.0184177,0.0209559,0.0232853,0.0250806,0.0258812,0.0259577,0.0253747,0.0239203,0.0219704,0.0199247,0.0176405,0.0154183,0.0135657,0.0117954,0.0101948,0.008655,0.0071646999999999,0.0058008999999999,0.0043887,0.0029224,0.0015065,-74.60033993573626,-65.9322920433741,-140.53263197911036,28.4
MET,a99SBdisp,0.2419184999999999,0.234416,0.558023320377568,0.6474181010549694,0.6290949472515269,0.0254610863396838,0.0295399270368869,0.0287038913660316,2.056635202665186,0.0144364242087729,0.2393114936146585,0.7029428095502499,0.0016187,0.0135120999999999,0.0127178,0.0185513,0.0236697999999999,0.0265686,0.0259852,0.0223985,0.0181624,0.0138369,0.0103673,0.0071802,0.0041014,0.0013298,0.0087089,0.0122219,0.0154083,0.0212858,0.0255522,0.0266624,0.0245616,0.0203097,0.0158521,0.0120702999999999,0.0087876,0.0055445,0.0026923,-4.820877248357575,1.7587962431059727,-0.6850800953516535,0.0018614999999999,0.0093677,0.014535,0.0137971,0.0144199999999999,0.016651,0.0190805,0.0213115,0.0233959,0.0245857,0.0252869,0.02558,0.0251108,0.0237865999999999,0.0217724,0.0197613,0.0175426,0.0152404,0.0133961,0.0118277,0.0103702999999999,0.0088792,0.0073871,0.0058798,0.0043775,0.0029373,0.0014636,-75.31339330590097,-69.30425710975771,-144.6176504156587,28.64
MET,C36m,0.1990245,0.200062,0.2681463707258548,0.3337332533493301,0.401119776044791,0.0137537050902042,0.0171177731510446,0.0205741479574568,2.3039392121575686,0.0131973605278944,0.1607678464307138,0.5698860227954409,0.0029783,0.0192439999999999,0.0181315999999999,0.019983,0.0214108,0.0219224999999999,0.0208674,0.0189375,0.0167046,0.0141357,0.0113374,0.0080476,0.0047401,0.0015595,0.0125225999999999,0.0185613,0.0189780999999999,0.0208346,0.0217714,0.0215882999999999,0.0200031,0.0178313,0.0154701,0.0127619,0.0097491,0.0063818999999999,0.0031112,13.572370983533151,-8.646661650979665,4.531794770146176,0.0029515,0.0123992,0.0190761,0.0185166,0.0181973,0.0191407,0.0200564999999999,0.0207933,0.0213812,0.0216317,0.0216903,0.0215216,0.0209759,0.0200738,0.0190364999999999,0.0179993,0.016765,0.0152982999999999,0.0139194,0.0125723,0.0110926,0.0096379,0.0082022,0.0066451,0.0050355,0.0033277,0.0016199,-58.50599537682952,-60.96530389612377,-119.47129927295327,27.03
ALA,a03ws,0.2429925,0.2367255,0.2322222222222222,0.33,0.365,0.0154620108012132,0.0219723311385662,0.0243027298956869,2.381666666666667,0.0066666666666666,0.1211111111111111,0.5316666666666666,0.0025807,0.0143434999999999,0.0125977,0.0179564,0.023244,0.0262548,0.0261071,0.0224914,0.017761,0.0138909,0.0101853,0.0071062,0.0041123,0.0013689,0.0103892,0.012306,0.0149465,0.0208887,0.0250664,0.0265755,0.0247317,0.0200294,0.0158198999999999,0.0119451,0.0085742,0.0055971,0.0027677,-4.95578800443098,1.885319505792166,1.2042368704064683,0.0027343,0.0105242,0.014485,0.0127886,0.0133904,0.0158395,0.0184177,0.0209559,0.0232853,0.0250806,0.0258812,0.0259577,0.0253747,0.0239203,0.0219704,0.0199247,0.0176405,0.0154183,0.0135657,0.0117954,0.0101948,0.008655,0.0071646999999999,0.0058008999999999,0.0043887,0.0029224,0.0015065,-69.16182790398598,-33.95499166332866,-103.11681956731464,20.45
ALA,a99SBdisp,0.2410605,0.234416,0.2470849528039977,0.3414769572459744,0.3764575235980011,0.01637173025275,0.0226260991133512,0.0249438946322799,2.277623542476402,0.0077734591893392,0.1549139367018323,0.5885619100499723,0.0017152,0.0135986,0.0133186,0.0186466,0.023599,0.0261967,0.025994,0.0222180999999999,0.0182893,0.0137865,0.0100658,0.0071337,0.0041516999999999,0.001286,0.0089521,0.0124628,0.0157744,0.0214286,0.0251419999999999,0.0265540999999999,0.0243976,0.0202697999999999,0.0159836,0.0118824,0.0086112,0.0055391,0.0026594,-3.892754316228104,1.3899159142836488,-0.6046707655673211,0.0018614999999999,0.0093677,0.014535,0.0137971,0.0144199999999999,0.016651,0.0190805,0.0213115,0.0233959,0.0245857,0.0252869,0.02558,0.0251108,0.0237865999999999,0.0217724,0.0197613,0.0175426,0.0152404,0.0133961,0.0118277,0.0103702999999999,0.0088792,0.0073871,0.0058798,0.0043775,0.0029373,0.0014636,-67.26982203319669,-36.323474551813504,-103.5932965850102,20.2
ALA,C36m,0.1995305,0.200062,0.1137772445510897,0.1853629274145171,0.2491501699660068,0.0085614119558839,0.0139480296715366,0.0187478370773837,2.477904419116177,0.0075984803039392,0.1105778844231153,0.4847030593881223,0.003031,0.019504,0.018132,0.0201324999999999,0.0214234999999999,0.0217605,0.0209718,0.0189343,0.0165922,0.0140284,0.0112659,0.0078446,0.0047698,0.0016092,0.0127386,0.0186807,0.0190912,0.0208558,0.0217978,0.0215191,0.0200207,0.0177509,0.0153914999999999,0.0126714,0.009562,0.0062916,0.0031829,13.92777294730132,-8.389547722623943,4.662763920603835,0.0029515,0.0123992,0.0190761,0.0185166,0.0181973,0.0191407,0.0200564999999999,0.0207933,0.0213812,0.0216317,0.0216903,0.0215216,0.0209759,0.0200738,0.0190364999999999,0.0179993,0.016765,0.0152982999999999,0.0139194,0.0125723,0.0110926,0.0096379,0.0082022,0.0066451,0.0050355,0.0033277,0.0016199,-58.87773830801248,-29.25920939789067,-88.13694770590315,18.81
